ticker,name,market_cap,currency_name,homepage_url,phone_number,address,total_employees
AAPL,Apple Inc.,2760536344240.0,usd,https://www.apple.com,(408) 996-1010, ONE APPLE PARK WAY CUPERTINO CA 95014,164000
AMZN,Amazon.Com Inc,1393618600015.72,usd,https://www.amazon.com,(206) 266-1000, 410 TERRY AVENUE NORTH SEATTLE WA 98109,1541000
TSLA,"Tesla, Inc. Common Stock",716053151755.2,usd,https://www.tesla.com,650-681-5000, 3500 DEER CREEK RD PALO ALTO CA 94304,127855
GOOGL,Alphabet Inc. Class A Common Stock,1622778299999.9998,usd,https://www.abc.xyz,650-253-0000, 1600 AMPHITHEATRE PARKWAY MOUNTAIN VIEW CA 94043,181798
AAPL,Apple Inc.,2760536344240.0,usd,https://www.apple.com,(408) 996-1010, ONE APPLE PARK WAY CUPERTINO CA 95014,164000
